"","sourceID","Source","Target","popularity","followers","id"
"1","3TVXtAsR1Inumwj472S9r4","Drake","The Weeknd",87,3424357,"1Xyo4u8uXC1ZmMpatF05PJ"
"2","3TVXtAsR1Inumwj472S9r4","Drake","Kendrick Lamar",84,2552994,"2YZyLoL8N0Wb9xBt1NhZWg"
"3","3TVXtAsR1Inumwj472S9r4","Drake","Future",88,1254872,"1RyvyyTE3xzB2ZywiAwp0i"
"4","3TVXtAsR1Inumwj472S9r4","Drake","G-Eazy",87,1167237,"02kJSzxNuaWGqwubyUba0Z"
"5","3TVXtAsR1Inumwj472S9r4","Drake","Frank Ocean",74,1398089,"2h93pZq0e7k5yf4dywlkpM"
"6","3TVXtAsR1Inumwj472S9r4","Drake","Wiz Khalifa",87,3191342,"137W8MRPWKqSmrBGDBFSop"
"7","3TVXtAsR1Inumwj472S9r4","Drake","J. Cole",82,1652575,"6l3HvQ5sa6mXTsMTB19rO5"
"8","3TVXtAsR1Inumwj472S9r4","Drake","Jhene Aiko",73,546154,"5ZS223C6JyBfXasXxrRqOk"
"9","3TVXtAsR1Inumwj472S9r4","Drake","Kid Cudi",75,1382292,"0fA0VVWsXO9YnASrzqfmYu"
"10","3TVXtAsR1Inumwj472S9r4","Drake","Miguel",76,583697,"360IAlyVv4PCEVjgyMZrxK"
"11","3TVXtAsR1Inumwj472S9r4","Drake","Big Sean",83,1389709,"0c173mlxpT3dSFRgMO8XPh"
"12","3TVXtAsR1Inumwj472S9r4","Drake","B.o.B",76,823609,"5ndkK3dpZLKtBklKjxNQwT"
"13","3TVXtAsR1Inumwj472S9r4","Drake","Lupe Fiasco",68,460237,"01QTIT5P1pFP3QnnFSdsJf"
"14","3TVXtAsR1Inumwj472S9r4","Drake","JAY Z",85,2010063,"3nFkdlSjzX9mRTtwJOzDYB"
"15","3TVXtAsR1Inumwj472S9r4","Drake","Childish Gambino",76,1208266,"73sIBHcqh3Z3NyqHKZ7FOL"
"16","3TVXtAsR1Inumwj472S9r4","Drake","Pusha T",74,232861,"0ONHkAv9pCAFxb0zJwDNTy"
"17","3TVXtAsR1Inumwj472S9r4","Drake","Kid Ink",79,789058,"6KZDXtSj0SzGOV705nNeh3"
"18","3TVXtAsR1Inumwj472S9r4","Drake","A$AP Rocky",81,1215775,"13ubrt8QOOCPljQ2FL1Kca"
"19","3TVXtAsR1Inumwj472S9r4","Drake","ScHoolboy Q",82,701171,"5IcR3N7QB1j6KBL8eImZ8m"
"20","3TVXtAsR1Inumwj472S9r4","Drake","The-Dream",66,145682,"1W3FSF1BLpY3hlVIgvenLz"
"21","738wLrAtLtCtFOLvQBXOXp","Major Lazer","Diplo",78,693988,"5fMUXHkw8R8eOP2RNVYEZX"
"22","738wLrAtLtCtFOLvQBXOXp","Major Lazer","Calvin Harris",89,4702153,"7CajNmpbOovFoOoasH2HaY"
"23","738wLrAtLtCtFOLvQBXOXp","Major Lazer","A-Trak",63,62877,"3TaUSUXn41GixL7zbvrIDt"
"24","738wLrAtLtCtFOLvQBXOXp","Major Lazer","M.I.A.",68,439913,"0QJIPDAEDILuo8AIq3pMuU"
"25","738wLrAtLtCtFOLvQBXOXp","Major Lazer","Buraka Som Sistema",44,42931,"6zUiRChNyL3HEezOd1Wjam"
"26","738wLrAtLtCtFOLvQBXOXp","Major Lazer","Mark Ronson",73,315293,"3hv9jJF3adDNsBSIQDqcjp"
"27","738wLrAtLtCtFOLvQBXOXp","Major Lazer","Steve Aoki",75,766055,"77AiFEVeAVj2ORpC85QVJs"
